380_uV_10hz_noise_5_9_2_exp1,380_uV_10hz_noise_5_9_2_exp2,380_uV_10hz_noise_5_9_2_exp3,380_uV_10hz_noise_5_15_2_exp1,380_uV_10hz_noise_5_15_2_exp2,380_uV_10hz_noise_5_15_2_exp3,380_uV_20hz_noise_5_9_2_exp1,380_uV_20hz_noise_5_9_2_exp2,380_uV_20hz_noise_5_9_2_exp3,205_uV_10hz_noise_5_9_2_exp1,205_uV_10hz_noise_5_9_2_exp2,205_uV_10hz_noise_5_9_2_exp3,380_uV_10hz_noise_3_9_2_exp1,380_uV_10hz_noise_3_9_2_exp2,380_uV_10hz_noise_3_9_2_exp3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,3,4,4,4,1,2,0,4,4,4
5,5,5,4,4,2,5,5,5,0,0,0,5,5,5
6,4,4,3,3,3,4,3,3,0,0,0,6,5,6
5,4,3,2,2,3,3,4,3,0,0,0,7,7,6
3,3,4,1,2,1,2,2,2,0,0,0,7,7,6
2,2,1,1,1,1,3,1,2,0,0,0,7,7,7
0,1,0,0,0,0,0,0,0,0,0,0,7,8,8
0,0,0,0,0,0,0,0,0,0,0,0,5,4,5
0,0,0,0,0,0,0,0,0,0,0,0,4,6,3
